Variable,"Treated, youngest child 0-10","Treated, youngest child 11-17","Control, youngest child 0-10","Control, youngest child 11-17"
Number of couples,256,135,"1,350",736
Wife age at baseline,37.5,47.1,38.1,47.1
,(6.2),(4.6),(5.9),(5.0)
Husband age at baseline,40.1,49.9,40.6,49.6
,(6.9),(5.4),(6.9),(5.5)
Number of children under 18 at baseline,1.93,1.50,1.93,1.59
,(0.85),(0.58),(0.78),(0.63)
Number of children under 10 at baseline,1.57,0.00,1.51,0.00
,(0.68),(0.00),(0.62),(0.00)
Age of youngest child at baseline,4.6,13.9,5.1,13.8
,(3.0),(2.0),(3.0),(2.0)
Years observed cohabiting before 2019,7.7,8.7,7.8,8.8
,(2.5),(1.9),(2.5),(1.7)
Wife weekly hours worked at baseline,28.4,28.5,27.4,29.3
,(8.6),(10.1),(9.8),(9.8)
Husband weekly hours worked at baseline,38.6,38.4,38.5,39.1
,(7.7),(8.5),(8.0),(7.4)
Wife keyworker non-education share,100.0\%,100.0\%,3.9\%,4.2\%
,(0.0\%),(0.0\%),(19.4\%),(20.1\%)
Husband keyworker non-education share,0.0\%,0.0\%,9.9\%,9.8\%
,(0.0\%),(0.0\%),(29.8\%),(29.7\%)
Wife gross monthly labour income at baseline,"1,981","2,168","1,800","1,873"
,"(1,209)","(1,411)","(1,470)","(1,435)"
Husband gross monthly labour income at baseline,"2,778","3,268","3,006","3,248"
,"(1,814)","(2,142)","(1,922)","(2,162)"
